arrival_time,route_short_name,route_long_name,headsign,service_days
23:57:23,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
21:24:23,147,Outer DuSable Lake Shore Express,,Sun
18:42:27,147,Outer DuSable Lake Shore Express,,Sun
15:13:15,147,Outer DuSable Lake Shore Express,,Sat
21:06:23,147,Outer DuSable Lake Shore Express,,Sun
07:48:18,147,Outer DuSable Lake Shore Express,,Sat
18:52:27,147,Outer DuSable Lake Shore Express,,Sun
22:57:53,147,Outer DuSable Lake Shore Express,,Sat
17:49:57,147,Outer DuSable Lake Shore Express,,Sat
12:00:10,147,Outer DuSable Lake Shore Express,,Sun
23:03:23,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
18:53:40,147,Outer DuSable Lake Shore Express,,Sat
22:50:23,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
17:13:54,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
11:52:10,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
09:14:23,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
15:57:27,147,Outer DuSable Lake Shore Express,,Sun
14:55:02,147,Outer DuSable Lake Shore Express,,Sat
21:15:57,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
10:36:23,147,Outer DuSable Lake Shore Express,,Sun
14:05:15,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
16:29:57,147,Outer DuSable Lake Shore Express,,Sun
20:45:23,147,Outer DuSable Lake Shore Express,,Sat
17:23:45,147,Outer DuSable Lake Shore Express,,Sun
12:46:10,147,Outer DuSable Lake Shore Express,,Sun
18:22:27,147,Outer DuSable Lake Shore Express,,Sun
16:48:15,147,Outer DuSable Lake Shore Express,,Sat
20:10:23,147,Outer DuSable Lake Shore Express,,Sun
09:25:05,147,Outer DuSable Lake Shore Express,,Sun
17:33:07,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
21:32:40,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
22:26:53,147,Outer DuSable Lake Shore Express,,Sat
15:57:27,147,Outer DuSable Lake Shore Express,,Sun
17:32:27,147,Outer DuSable Lake Shore Express,,Sun
11:07:40,147,Outer DuSable Lake Shore Express,,Sun
23:17:23,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
18:04:50,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
20:39:57,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
22:36:53,147,Outer DuSable Lake Shore Express,,Sat
09:25:05,147,Outer DuSable Lake Shore Express,,Sun
21:42:23,147,Outer DuSable Lake Shore Express,,Sun
22:30:40,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
08:12:15,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
09:27:53,147,Outer DuSable Lake Shore Express,,Sat
05:31:13,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
14:26:23,147,Outer DuSable Lake Shore Express,,Sun
13:42:23,147,Outer DuSable Lake Shore Express,,Sun
13:40:15,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:40:10,147,Outer DuSable Lake Shore Express,,Sun
11:21:10,147,Outer DuSable Lake Shore Express,,Sun
05:06:13,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
18:48:07,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
11:35:27,147,Outer DuSable Lake Shore Express,,Sun
17:13:45,147,Outer DuSable Lake Shore Express,,Sun
10:17:57,147,Outer DuSable Lake Shore Express,,Sat
17:29:15,147,Outer DuSable Lake Shore Express,,Sat
22:10:40,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
20:53:53,147,Outer DuSable Lake Shore Express,,Sat
14:46:02,147,Outer DuSable Lake Shore Express,,Sat
17:35:57,147,Outer DuSable Lake Shore Express,,Sat
16:50:57,147,Outer DuSable Lake Shore Express,,Sun
15:22:45,147,Outer DuSable Lake Shore Express,,Sat
16:47:20,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
09:05:18,147,Outer DuSable Lake Shore Express,,Sun
18:04:50,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
11:21:10,147,Outer DuSable Lake Shore Express,,Sun
08:06:48,147,Outer DuSable Lake Shore Express,,Sun
18:39:07,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
07:00:13,147,Outer DuSable Lake Shore Express,,Sun
17:56:20,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
